;P;eta_s;pr
抽凝式汽轮机1_高压缸一段;-16483122.265449634;0.7475393654293013;0.4179197994987466
抽凝式汽轮机1_高压缸二段;-7955397.118067117;0.7475393654295656;0.6296851574212874
抽凝式汽轮机1_低压缸一段;-8373361.483582554;0.7472954358438135;0.6378378378378372
抽凝式汽轮机1_低压缸二段;-11556195.659875987;0.7472954358437761;0.5042372881355935
抽凝式汽轮机1_低压缸三段;-8984511.35806252;0.7472954358437081;0.5546218487394959
抽凝式汽轮机1_低压缸四段;-11417673.586021444;0.7472954358437414;0.4265151515151509
抽凝式汽轮机1_低压缸五段;-10408242.096418165;0.7472954358437218;0.4049733570159851
抽凝式汽轮机1_低压缸六段;-1451358.2836902805;0.7472954358440616;0.8739473684210528
抽凝式汽轮机1_低压缸七段;-18676870.752613947;0.7472954358437331;0.1204456489009327
