;pr;zeta
抽凝式汽轮机1_高压缸进气阀;0.9908389275410328;1314.3424540010483
抽凝式汽轮机1_高压缸排气阀;0.9421232528321678;680.0151228191506
抽凝式汽轮机1_中压缸进气阀;0.9412418297840056;560.2921154981258
抽凝式汽轮机1_中压缸排气阀;0.9199549146137809;0.017214728022491393
1#发电锅炉_进水阀;0.963041346944241;104000.00000000015
